hood_length,hood_width,hood_thickness,material_density,youngs_modulus,poisson_ratio,yield_strength,impact_velocity,impact_angle,hood_mass,stiffness,energy_absorption,hic_value
1104.5,1781.95,1.432,4139.41,199.58,0.295,424.18,7.74,70.17,18.69,96249.61,1111.05,3000.0
1156.45,1705.27,1.474,2688.24,53.62,0.304,282.98,6.96,74.78,15.16,77539.62,904.2,3000.0
1219.25,1703.0,1.45,4918.06,114.1,0.371,172.63,7.27,70.19,17.72,94413.22,981.58,3000.0
1449.62,1481.22,1.027,3589.3,87.93,0.292,299.57,7.18,74.73,13.16,62207.04,437.81,3000.0
1039.77,1448.89,1.376,3752.26,165.59,0.282,527.78,10.98,61.91,17.0,40712.34,1102.86,3000.0
1259.96,1364.04,1.36,3882.28,206.91,0.394,406.69,9.99,54.69,18.96,24226.13,489.59,3000.0
1314.69,1233.83,0.887,6757.55,87.33,0.251,418.59,10.95,72.14,14.87,78086.79,878.52,3000.0
932.52,1718.83,1.346,5227.14,152.94,0.4,402.91,8.52,60.81,10.17,29704.24,721.92,3000.0
1325.28,1687.74,0.633,3905.58,77.69,0.352,229.6,7.78,70.14,11.23,44222.01,999.97,3000.0
1019.37,1799.83,1.137,5639.94,138.28,0.374,317.33,10.17,58.12,10.38,62597.67,546.76,3000.0
945.54,1797.98,0.807,6253.67,121.55,0.294,450.38,8.0,52.44,10.96,65153.33,1160.81,3000.0
1564.22,1533.26,0.709,3681.22,205.38,0.252,190.55,7.88,79.78,11.68,68046.66,1274.51,3000.0
1575.94,1661.39,0.669,4498.58,145.41,0.361,261.14,7.57,54.69,14.66,33300.43,579.69,3000.0
1465.88,1766.86,1.227,2806.94,102.67,0.375,260.53,7.1,79.65,15.06,50378.99,514.74,3000.0
1113.23,1709.79,0.906,3150.67,63.83,0.361,322.81,7.68,79.32,13.12,69375.54,560.07,3000.0
968.37,1348.41,1.252,6050.48,69.96,0.271,542.15,8.13,73.81,15.39,97585.51,1364.84,3000.0
1378.96,1470.33,0.659,3152.34,82.18,0.363,177.0,9.6,69.78,8.98,78210.49,981.01,3000.0
1208.11,1277.5,0.884,5145.95,86.41,0.365,357.48,6.79,67.33,9.05,93808.3,913.99,3000.0
985.43,1772.43,1.086,6212.47,185.35,0.349,221.75,7.47,75.98,10.06,80976.96,517.38,3000.0
1246.62,1563.7,1.312,2719.89,137.6,0.365,538.27,10.22,58.68,14.22,67337.36,1114.51,3000.0
924.07,1337.19,0.887,5390.41,131.36,0.377,195.32,7.18,64.03,10.57,35361.87,1354.8,3000.0
1536.52,1603.02,1.163,3588.06,63.94,0.342,311.44,8.08,68.58,11.4,73334.85,1311.0,3000.0
1081.15,1570.88,1.397,7684.98,186.92,0.263,445.15,10.48,62.34,12.8,69870.37,1088.66,3000.0
1363.77,1414.9,1.154,4904.56,164.26,0.323,431.82,7.21,62.82,17.74,68197.53,482.81,3000.0
1118.2,1268.13,0.81,6774.76,56.17,0.262,319.09,6.88,59.91,8.17,59182.87,523.64,3000.0
1264.05,1602.94,0.622,5291.31,161.79,0.311,288.61,8.73,66.93,15.79,62292.53,454.24,3000.0
1282.7,1512.18,1.383,2351.79,134.68,0.311,309.04,7.89,75.52,16.03,46755.4,683.23,3000.0
1029.4,1663.39,0.619,5772.28,58.48,0.26,255.71,9.09,56.05,17.58,61545.02,549.23,3000.0
1578.71,1512.1,1.387,7618.14,120.62,0.302,232.13,10.2,78.03,19.19,35804.47,686.05,3000.0
1442.59,1711.31,1.076,5589.35,124.97,0.267,343.22,7.13,70.67,8.24,84413.95,823.56,3000.0
1557.65,1531.14,1.445,6851.3,72.35,0.371,257.41,9.17,74.7,9.85,34862.16,1437.28,3000.0
1526.38,1536.56,1.319,7228.4,201.04,0.392,264.98,8.83,66.69,18.63,26797.3,1071.41,3000.0
1318.53,1725.99,1.498,3422.86,185.25,0.261,412.7,7.16,73.39,13.5,54899.68,1318.47,3000.0
1545.31,1442.09,0.916,3329.86,155.39,0.393,537.41,9.37,50.49,14.78,72664.6,1181.39,3000.0
961.94,1280.41,1.29,5643.69,121.28,0.328,391.45,7.76,74.55,15.96,55017.35,523.75,3000.0
1037.19,1217.27,0.962,4483.97,112.94,0.295,180.79,8.74,51.2,16.15,42140.33,1209.51,3000.0
931.66,1653.08,1.032,6971.2,152.41,0.262,180.23,6.88,76.7,19.18,64653.69,702.61,3000.0
1127.73,1572.19,1.165,7320.13,135.0,0.325,530.57,8.61,79.76,19.96,47760.19,1103.02,3000.0
1172.07,1622.45,1.386,4149.84,55.28,0.369,268.92,7.91,58.82,16.64,94629.42,775.06,3000.0
1089.94,1327.78,1.486,3473.85,129.56,0.356,186.83,10.28,56.31,11.45,93811.61,1497.44,3000.0
1480.12,1281.82,1.291,6627.05,178.06,0.258,389.62,6.76,72.96,18.56,60189.75,689.91,3000.0
1149.73,1208.73,0.976,3693.88,120.77,0.261,399.46,8.43,57.59,8.59,46230.72,707.04,3000.0
1096.65,1410.35,0.979,6871.16,53.57,0.31,409.4,8.61,75.97,10.77,78970.59,1423.74,3000.0
1279.89,1553.95,1.264,4557.68,174.74,0.294,256.96,9.84,53.09,18.77,22937.04,427.11,3000.0
998.65,1435.35,0.815,5971.79,78.23,0.285,156.04,9.14,53.78,11.07,57981.52,1166.36,3000.0
1461.54,1462.48,0.699,2654.1,87.67,0.292,536.01,9.57,79.37,10.65,46905.87,1197.86,3000.0
952.19,1742.5,0.919,5718.38,72.18,0.371,250.36,10.07,70.22,9.66,93642.87,1320.02,3000.0
1590.82,1408.95,0.859,4720.25,99.49,0.389,420.41,10.47,75.41,18.31,20960.24,1471.88,3000.0
1440.57,1508.39,0.867,5502.33,169.86,0.311,432.65,7.94,59.73,14.0,64225.19,1473.16,3000.0
1039.1,1670.19,0.81,3074.48,130.7,0.386,394.0,8.97,70.29,16.1,79253.09,471.8,3000.0
903.87,1437.93,0.638,6373.87,78.81,0.298,275.16,10.36,67.83,10.87,58801.44,1304.02,3000.0
1470.82,1573.25,0.616,7104.22,189.84,0.321,258.44,11.05,68.09,17.1,26832.24,1110.94,3000.0
1394.8,1717.42,1.489,3357.09,190.13,0.284,389.07,10.59,70.48,17.12,97796.91,1112.08,3000.0
1410.31,1769.71,0.985,2655.14,188.65,0.346,496.44,8.21,67.26,11.75,61440.83,541.18,3000.0
1439.89,1288.24,0.946,2237.1,84.4,0.397,528.69,7.4,62.87,12.93,69134.9,1115.21,3000.0
951.83,1755.95,1.212,5823.43,119.45,0.341,192.36,8.75,58.28,10.52,38928.78,1480.73,3000.0
1150.93,1495.27,0.796,5621.15,207.52,0.304,211.93,9.91,73.06,19.72,58679.85,1403.0,3000.0
981.11,1354.95,1.455,5270.84,172.38,0.347,527.89,8.77,56.79,15.75,54331.96,883.04,3000.0
1504.17,1475.48,1.308,3445.29,49.48,0.268,444.61,8.72,70.77,19.21,25991.67,443.94,3000.0
1336.31,1788.02,0.68,4367.25,55.76,0.383,503.2,10.36,57.0,11.64,28492.83,798.52,3000.0
1131.63,1495.57,0.976,5547.96,121.55,0.325,231.05,8.16,68.76,17.38,86997.8,1309.03,3000.0
944.49,1397.25,1.391,4981.25,195.02,0.317,385.03,10.46,72.41,17.19,39185.6,1171.65,3000.0
1117.69,1580.04,1.45,7829.16,133.89,0.338,430.46,8.37,56.56,16.3,35596.66,905.28,3000.0
1127.63,1344.09,1.021,2891.35,127.14,0.344,422.04,8.01,51.8,19.59,60392.92,460.61,3000.0
1410.72,1245.52,1.152,6131.84,62.4,0.261,313.26,8.59,53.93,12.72,81499.77,869.58,3000.0
1346.29,1277.33,0.75,4445.05,153.37,0.352,156.16,10.01,68.18,9.57,24955.72,915.93,3000.0
1521.05,1276.83,1.492,4583.56,180.65,0.286,383.17,7.08,75.48,16.06,66144.63,1421.41,3000.0
1230.55,1291.14,0.809,6262.07,107.77,0.357,251.24,7.4,51.35,16.75,29536.84,1105.19,3000.0
983.72,1283.3,1.448,6116.13,172.98,0.373,330.1,10.88,72.02,14.9,22916.88,742.82,3000.0
1399.27,1584.52,1.185,7849.28,204.14,0.371,533.03,7.31,60.24,10.48,24219.52,977.85,3000.0
1432.55,1309.13,1.147,2844.69,78.62,0.333,309.61,9.11,64.36,14.05,86733.13,472.66,3000.0
1292.89,1407.4,1.061,2703.84,131.35,0.328,485.92,9.16,77.87,11.75,29437.8,1469.83,3000.0
1439.68,1738.07,0.808,6301.17,92.38,0.271,225.42,8.75,59.96,13.13,23612.11,796.07,3000.0
1245.66,1484.38,0.759,5454.64,175.82,0.366,418.98,9.47,63.96,15.74,55031.99,925.65,3000.0
1265.91,1600.53,0.798,3690.13,140.3,0.291,540.8,7.56,50.41,16.94,87519.48,790.81,3000.0
1199.28,1303.39,0.768,2560.63,149.71,0.325,190.76,9.04,52.45,10.79,40992.67,1150.76,3000.0
917.79,1315.37,1.302,2596.82,176.66,0.293,153.33,8.21,57.76,12.86,53737.01,1128.46,3000.0
975.52,1224.52,0.915,7286.31,110.34,0.27,323.43,9.54,50.84,11.23,23193.8,1186.85,3000.0
922.0,1301.36,0.652,3212.83,195.99,0.344,187.05,7.15,68.94,10.38,55926.28,694.96,3000.0
1345.49,1367.15,1.472,3975.56,132.95,0.258,449.35,9.13,62.79,17.4,66209.05,747.24,3000.0
1120.05,1306.21,1.395,3414.61,71.06,0.362,515.82,7.35,66.44,18.91,65672.56,537.78,3000.0
1256.0,1253.22,1.435,4158.98,159.82,0.298,323.61,7.78,55.24,12.44,46594.14,1121.06,3000.0
1535.3,1272.38,1.495,2502.66,175.89,0.25,253.48,7.51,58.88,17.02,45242.65,443.78,3000.0
1074.5,1476.47,0.757,5110.55,97.27,0.327,323.76,7.34,69.91,18.76,28529.89,1057.45,3000.0
1187.27,1323.8,0.957,2492.15,186.43,0.257,439.38,10.3,78.96,18.15,49343.87,1356.67,3000.0
1428.89,1418.56,1.282,6742.07,194.51,0.291,153.62,7.81,51.51,10.19,27959.57,1379.92,3000.0
1060.16,1502.05,1.226,3455.53,90.69,0.356,385.78,10.76,76.71,19.48,81327.68,893.94,3000.0
953.89,1614.24,0.739,5232.07,207.28,0.259,395.32,10.96,67.31,12.52,97301.94,905.23,3000.0
1102.83,1223.59,1.334,7204.46,68.22,0.376,405.08,9.13,66.92,12.07,97605.96,484.67,3000.0
1012.85,1679.65,0.802,5875.09,78.33,0.251,246.81,7.16,65.01,8.75,89205.69,1137.84,3000.0
1550.79,1576.74,0.801,5191.16,75.4,0.287,435.62,8.22,52.08,13.83,68063.37,1303.39,3000.0
1465.68,1249.06,1.083,3981.14,192.51,0.361,186.56,10.17,52.7,9.31,76069.26,669.12,3000.0
1343.38,1724.15,1.134,4031.41,152.96,0.297,229.71,8.19,68.03,10.98,42816.46,863.43,3000.0
1510.02,1752.52,1.122,5983.02,70.1,0.265,500.99,6.9,60.23,11.8,70461.63,1322.72,3000.0
1462.57,1236.65,0.682,7866.01,117.65,0.304,445.49,9.06,77.52,17.71,56451.96,1364.83,3000.0
1030.6,1366.13,1.39,5938.67,146.52,0.291,155.5,10.39,62.2,18.51,58561.39,667.5,3000.0
1524.79,1683.72,0.839,5335.14,58.77,0.376,249.35,10.16,54.3,11.63,80622.12,1005.63,3000.0
1277.54,1648.96,0.717,6337.77,190.6,0.297,235.76,7.31,71.44,18.3,42553.47,611.74,3000.0
1465.21,1310.71,1.4,4798.19,177.59,0.368,258.32,9.59,58.8,18.29,45443.17,512.07,3000.0
1527.26,1325.61,1.46,2448.83,128.36,0.384,249.02,7.51,65.76,17.18,93971.34,1402.23,3000.0
1122.6,1422.28,1.376,5361.32,204.58,0.315,175.01,7.5,70.93,9.76,24497.94,1302.56,3000.0
977.04,1490.71,1.329,7654.23,113.93,0.386,333.58,10.52,77.01,16.28,58850.74,1236.04,3000.0
1059.55,1570.95,1.19,3116.76,207.38,0.307,443.09,7.65,73.77,19.34,93024.06,453.64,3000.0
1198.98,1421.35,1.096,6102.03,155.21,0.395,392.69,7.71,70.29,16.19,68829.04,1328.1,3000.0
1472.61,1477.52,0.678,3265.42,149.72,0.263,419.15,6.5,70.39,11.98,63712.57,881.85,3000.0
1502.51,1648.48,0.968,5207.8,72.38,0.353,182.46,10.51,78.38,14.01,39979.53,776.63,3000.0
904.87,1222.01,0.935,2660.72,190.52,0.324,530.6,10.15,58.87,15.75,47462.04,1001.12,3000.0
1257.52,1351.46,0.834,4712.15,115.54,0.308,485.4,9.39,50.03,14.13,88163.87,500.49,3000.0
1192.19,1628.01,1.251,6485.75,71.77,0.345,472.04,9.95,58.16,9.44,64737.45,1232.31,3000.0
1055.48,1737.12,1.046,4115.91,47.08,0.356,479.19,7.2,56.54,11.74,61179.38,1040.68,3000.0
983.91,1507.01,0.673,5956.49,137.36,0.251,523.08,8.61,69.86,17.63,27966.38,605.25,3000.0
1136.33,1519.27,0.798,6713.61,132.02,0.275,367.7,8.12,69.01,18.34,21282.25,607.06,3000.0
1560.04,1264.3,1.215,7477.63,163.69,0.357,230.11,6.93,67.8,9.65,97094.82,602.67,3000.0
1126.24,1468.45,0.669,3460.92,191.89,0.35,396.71,8.74,50.49,19.43,50158.89,462.7,3000.0
1263.15,1519.57,1.366,4416.03,58.1,0.395,447.15,10.74,71.86,11.95,68257.04,1046.58,3000.0
1392.11,1345.48,1.046,2984.01,165.7,0.364,445.17,6.68,59.71,15.95,26377.21,1324.38,3000.0
1154.54,1361.55,1.033,7856.4,75.92,0.393,358.58,7.84,69.95,17.02,74649.14,419.25,3000.0
1580.25,1426.37,1.133,7476.61,186.6,0.355,177.38,7.45,66.7,17.74,94605.34,453.91,3000.0
1573.71,1212.04,1.342,5231.75,180.15,0.295,298.45,7.6,60.28,19.35,66053.22,1030.05,3000.0
1076.25,1393.25,0.913,6983.79,134.23,0.266,518.31,10.68,54.04,11.76,30089.23,1301.45,3000.0
1248.07,1326.87,1.21,5121.56,162.19,0.367,383.78,8.65,52.83,18.3,66537.72,759.41,3000.0
1110.61,1396.5,1.109,5716.8,96.87,0.347,365.33,8.64,74.95,9.58,81307.78,784.58,3000.0
1099.39,1271.86,0.84,2616.92,122.74,0.257,257.54,10.0,77.55,16.46,52513.32,1055.98,3000.0
925.82,1734.32,1.391,6480.57,180.57,0.304,297.38,7.21,69.49,16.9,90387.02,701.63,3000.0
1326.7,1556.16,1.318,2840.74,120.78,0.394,508.14,8.74,53.1,16.13,71894.64,429.27,3000.0
1251.88,1607.46,1.193,6891.19,104.04,0.325,416.59,8.48,62.06,11.03,91939.91,1208.75,3000.0
936.04,1673.5,1.366,6635.76,126.55,0.315,464.95,9.25,71.87,18.48,69880.42,1088.21,3000.0
1095.05,1499.07,1.381,6210.72,181.66,0.319,331.74,11.1,73.39,10.03,30503.04,1038.83,3000.0
1535.79,1252.15,1.238,2309.73,100.31,0.281,402.1,10.04,53.55,8.64,44775.34,1215.85,3000.0
1067.69,1522.26,1.353,3858.14,73.67,0.305,249.35,8.33,50.0,16.61,36143.6,1142.75,3000.0
1001.43,1552.1,1.228,3626.05,162.48,0.305,432.18,10.31,71.36,13.71,92706.12,626.47,3000.0
1242.62,1647.26,1.212,4188.79,181.29,0.258,321.04,7.29,60.7,18.19,80832.01,787.73,3000.0
1589.96,1459.0,1.157,2608.33,61.61,0.365,327.02,6.64,57.63,12.6,74111.87,538.72,3000.0
1069.44,1276.55,1.277,7534.36,84.58,0.312,409.73,7.44,50.39,10.02,44077.31,542.84,3000.0
1370.49,1370.27,0.743,5312.05,68.43,0.373,524.51,8.07,66.21,18.04,34723.58,1143.82,3000.0
1433.13,1417.85,1.393,3872.04,102.41,0.378,175.6,8.85,75.53,14.59,80516.09,1344.46,3000.0
1066.35,1587.55,1.385,4402.49,119.31,0.282,479.9,9.33,78.73,10.27,57932.64,1459.01,3000.0
1409.75,1542.47,0.626,4693.77,168.56,0.349,266.95,10.69,66.97,16.64,38063.16,1091.18,3000.0
1157.45,1413.66,1.343,5583.45,152.44,0.321,327.57,8.85,65.43,14.13,69329.76,602.51,3000.0
1342.61,1791.91,0.716,5090.94,147.45,0.382,158.77,8.81,52.55,15.25,23226.71,516.22,3000.0
1343.47,1563.46,0.902,7432.47,103.14,0.282,270.42,6.73,66.47,13.53,46093.62,1294.14,3000.0
1275.04,1342.34,1.269,4982.39,183.84,0.352,351.05,6.66,61.4,17.94,57484.56,1036.63,3000.0
963.2,1261.07,0.745,7854.52,122.76,0.341,172.47,9.04,68.21,17.95,31836.67,1080.11,3000.0
1484.71,1291.72,1.336,7038.26,206.55,0.294,346.44,8.52,61.66,16.51,98772.36,1259.61,3000.0
1124.55,1347.57,1.349,3309.36,149.63,0.27,520.84,10.36,57.21,9.26,36727.79,1173.6,3000.0
1030.56,1296.41,1.057,7497.45,65.83,0.348,192.16,7.24,52.85,18.07,30428.25,1317.9,3000.0
928.54,1311.94,0.606,2774.93,156.57,0.361,455.78,6.61,59.45,16.05,36282.79,461.84,3000.0
1313.63,1371.06,0.858,6841.21,98.64,0.297,313.87,8.57,52.9,16.36,81524.89,1222.27,3000.0
1374.3,1304.02,1.155,4307.62,158.24,0.347,412.07,7.59,55.31,12.36,54040.45,1335.94,3000.0
911.61,1738.06,1.483,7192.25,56.49,0.309,254.09,6.73,79.62,18.55,65233.28,714.75,3000.0
1258.47,1248.14,1.169,7134.73,73.86,0.357,213.8,9.83,63.32,16.7,21680.73,1104.49,3000.0
1058.55,1514.71,0.834,6774.37,186.2,0.28,214.19,7.01,65.96,9.35,22754.5,745.58,3000.0
1351.62,1446.24,1.171,6682.18,82.48,0.384,178.2,9.3,76.21,12.89,55666.04,1453.77,3000.0
1022.06,1789.43,1.086,3867.14,183.11,0.293,224.26,7.79,79.87,18.64,85332.42,436.77,3000.0
1383.66,1267.22,1.302,2569.33,91.08,0.305,415.69,7.3,67.48,8.57,90819.11,1037.77,3000.0
1170.71,1438.71,0.696,4437.29,151.08,0.259,502.68,8.25,74.37,19.54,26936.53,583.15,3000.0
1555.71,1781.68,1.285,3106.44,159.53,0.267,475.65,10.19,59.81,16.15,63069.05,1183.44,3000.0
996.26,1719.3,1.087,6130.72,129.59,0.327,424.05,8.3,59.17,15.58,93058.37,593.48,3000.0
1138.75,1690.24,1.467,4107.38,95.38,0.29,194.17,9.95,62.08,11.25,51037.82,658.92,3000.0
979.43,1354.74,0.908,7758.54,80.09,0.375,265.67,7.08,70.18,10.99,86365.27,943.81,3000.0
1547.29,1302.53,1.169,5817.64,50.48,0.252,273.92,10.05,70.47,19.3,30695.65,1406.32,3000.0
1514.14,1601.19,1.439,6870.39,95.15,0.307,249.98,7.59,59.46,11.58,94831.56,632.89,3000.0
1080.56,1757.63,0.692,2868.64,152.77,0.301,356.0,9.62,54.0,17.31,80113.87,558.66,3000.0
1361.99,1534.06,1.444,7099.68,199.82,0.253,364.22,9.1,68.97,12.72,95306.75,1234.87,3000.0
1472.06,1542.97,1.219,7451.99,188.75,0.269,292.75,10.77,53.85,9.67,74129.38,950.68,3000.0
1288.64,1367.99,0.661,4924.96,171.4,0.312,291.52,8.28,67.35,8.13,49072.31,1402.96,3000.0
1270.76,1661.7,0.871,5616.27,175.09,0.324,481.42,6.8,70.8,14.53,95054.49,561.28,3000.0
1069.3,1312.23,1.237,6535.9,154.72,0.311,465.72,6.59,71.02,19.71,42045.34,1110.52,3000.0
965.17,1394.21,0.661,3114.06,87.95,0.33,273.12,10.3,72.6,12.43,46573.8,656.17,3000.0
1528.05,1455.26,1.124,5014.88,194.69,0.339,515.52,8.91,76.19,12.29,76064.67,572.44,3000.0
1530.29,1504.57,0.911,4412.25,155.67,0.251,531.13,10.07,65.0,12.13,81225.3,1151.77,3000.0
1343.17,1345.45,1.159,2948.97,137.47,0.32,280.7,7.58,71.91,14.25,94352.28,1053.05,3000.0
1137.32,1268.9,0.641,4231.7,63.31,0.395,291.77,8.09,68.58,13.29,36384.19,1230.31,3000.0
1144.45,1566.37,1.384,2495.4,118.76,0.328,352.25,6.64,55.6,18.56,83839.84,740.41,3000.0
1408.17,1373.18,1.476,2249.71,120.96,0.352,526.45,10.92,50.77,14.07,79083.68,892.77,3000.0
1527.98,1548.74,1.472,2883.96,187.65,0.297,500.53,9.57,58.54,14.09,25103.56,846.02,3000.0
1520.96,1292.62,1.275,7686.07,135.2,0.366,191.03,10.79,63.29,9.66,50977.85,1482.5,3000.0
1445.91,1488.68,0.717,5287.27,107.77,0.366,307.09,7.72,68.51,19.79,42621.24,721.47,3000.0
1349.42,1519.55,1.282,7701.77,206.17,0.328,371.35,9.31,75.5,11.0,44359.23,724.3,3000.0
958.9,1231.09,0.622,4608.49,63.27,0.396,351.25,9.62,55.89,8.88,98635.75,790.0,3000.0
1013.14,1401.96,0.62,3908.53,114.72,0.269,227.55,7.96,53.77,15.96,71422.19,1021.05,3000.0
1528.99,1280.65,0.891,5035.62,51.93,0.253,493.53,10.4,78.9,15.14,77414.09,677.56,3000.0
1324.5,1238.02,1.04,4649.17,167.08,0.366,420.78,10.86,53.24,12.98,98129.41,1406.82,3000.0
906.44,1793.98,1.293,2712.86,196.48,0.371,485.16,10.57,64.35,13.07,50176.14,692.25,3000.0
971.03,1393.41,1.215,5816.79,91.21,0.268,493.51,9.9,67.57,17.42,84147.21,1385.4,3000.0
1364.45,1685.92,1.001,3353.02,186.63,0.29,449.34,7.78,66.24,10.35,54762.48,513.82,3000.0
903.54,1352.78,0.846,5693.61,93.22,0.253,325.68,7.8,52.58,17.84,89562.69,1122.22,3000.0
1012.57,1608.9,1.497,5871.17,195.28,0.294,394.22,10.93,51.71,15.78,34452.6,1397.68,3000.0
1284.11,1656.14,0.984,2981.74,169.4,0.366,214.15,6.55,53.16,13.03,95814.89,585.62,3000.0
1384.33,1557.38,1.006,2455.83,177.81,0.328,419.46,9.79,67.57,13.5,37501.74,1465.16,3000.0
1356.37,1482.95,0.747,6628.42,47.97,0.302,221.7,9.75,66.33,11.08,46097.64,898.17,3000.0
1056.99,1447.1,1.315,4766.84,203.86,0.306,427.58,9.36,57.01,17.03,80495.38,1440.29,3000.0
1398.53,1409.32,1.224,2437.35,164.9,0.25,241.84,11.05,69.13,14.15,51500.41,1144.5,3000.0
1066.07,1757.72,0.799,7870.22,95.28,0.295,197.02,7.93,74.6,11.85,68656.91,731.75,3000.0
1127.78,1698.37,0.674,2435.13,181.85,0.347,216.11,8.06,51.25,15.15,55565.88,607.13,3000.0
1422.54,1779.02,1.212,6131.2,91.45,0.396,150.8,6.86,64.94,19.95,79389.59,734.11,3000.0
1354.74,1274.58,1.189,7805.34,189.0,0.377,437.5,8.54,70.68,13.22,38266.5,502.32,3000.0
1494.46,1638.52,0.846,3487.24,63.58,0.254,442.96,7.7,57.57,19.05,24676.64,558.25,3000.0
1360.33,1763.0,1.456,2925.05,161.11,0.385,355.97,8.08,59.23,12.14,43994.35,515.13,3000.0
1297.82,1308.74,0.736,2804.03,134.22,0.367,214.55,10.34,68.41,8.66,57944.69,865.24,3000.0
965.57,1239.9,0.989,3859.0,60.93,0.367,183.42,10.8,76.94,10.45,33441.6,1275.14,3000.0
1157.4,1644.67,1.449,2686.07,84.91,0.319,157.65,7.35,74.3,13.02,48383.78,555.52,3000.0
1085.64,1544.68,0.978,6114.54,47.05,0.31,216.3,8.21,67.49,10.64,51998.64,543.35,3000.0
1070.79,1705.1,1.175,2461.29,122.35,0.295,506.34,10.77,71.91,8.0,24591.35,1107.77,3000.0
1581.11,1283.86,0.958,5054.65,94.71,0.26,246.61,6.78,60.94,18.98,66664.58,616.9,3000.0
1175.17,1677.16,0.847,7880.84,143.73,0.284,291.71,6.92,69.23,18.13,90747.47,507.37,3000.0
1524.43,1320.98,1.486,6821.03,94.04,0.287,192.14,7.25,63.99,16.91,32139.43,583.53,3000.0
1341.8,1298.19,0.968,5668.27,94.49,0.323,238.94,9.24,55.7,10.01,67824.64,1416.1,3000.0
1456.37,1298.56,1.405,3876.27,167.63,0.362,357.69,7.19,71.05,9.44,73179.14,1303.62,3000.0
1251.85,1688.74,0.807,5718.6,52.94,0.321,393.1,10.95,66.69,8.81,53546.77,789.47,3000.0
1303.83,1599.12,0.792,5156.84,193.98,0.259,248.14,8.55,60.76,16.69,76087.81,1121.4,3000.0
1244.76,1513.84,0.628,4571.28,185.62,0.394,173.09,8.81,77.34,19.15,52858.52,991.0,3000.0
1036.67,1415.3,1.187,2858.12,155.19,0.391,306.41,7.63,50.63,13.17,60370.98,1144.84,3000.0
1405.72,1726.32,0.932,7242.3,142.88,0.368,243.68,8.67,59.47,9.43,20588.24,1150.94,3000.0
1096.54,1435.47,1.378,4708.75,192.23,0.399,237.82,9.54,51.71,14.15,75337.61,1091.61,3000.0
917.02,1689.96,1.026,3228.81,75.58,0.332,533.95,9.96,73.0,12.19,72907.41,692.71,3000.0
1351.83,1463.48,1.471,4233.0,58.03,0.394,396.52,9.97,71.06,12.5,23072.07,442.91,3000.0
1023.98,1426.17,0.767,4501.95,84.52,0.261,372.75,9.16,59.94,15.46,49460.01,901.12,3000.0
1558.32,1477.61,1.382,6899.72,176.11,0.305,316.31,10.66,70.27,16.62,98322.55,1380.07,3000.0
